TIME IN SEC.,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.0,48.83,0.0,-48.83,-24.415,48.83,-24.415,-117.192,-48.83,-253.916,-39.064,68.362,146.49
0.002,48.83,0.0,-48.83,-24.415,48.83,-24.415,-117.192,-48.83,-253.916,-39.064,68.362,146.49
0.004,48.83,0.0,-48.83,-24.415,48.83,-24.415,-117.192,-48.83,-253.916,-39.064,68.362,146.49
0.006,48.83,0.0,-48.83,-24.415,48.83,-24.415,-117.192,-48.83,-253.916,-39.064,68.362,146.49
0.008,58.596,9.766,-48.83,-34.181,53.713,-19.532,-126.958,-53.713,-263.682,-48.83,78.128,151.373
0.01,58.596,9.766,-48.83,-34.181,53.713,-19.532,-126.958,-58.596,-263.682,-48.83,78.128,156.256
0.012,58.596,9.766,-48.83,-34.181,53.713,-19.532,-126.958,-63.479,-263.682,-48.83,78.128,161.139
0.014,58.596,9.766,-48.83,-34.181,53.713,-19.532,-126.958,-68.362,-263.682,-48.83,78.128,166.022
0.016,68.362,19.532,-48.83,-43.947,58.596,-14.649,-131.841,-78.128,-273.448,-48.83,87.894,170.905
0.018,68.362,19.532,-48.83,-43.947,58.596,-14.649,-136.724,-78.128,-273.448,-48.83,87.894,175.788
0.02,68.362,19.532,-48.83,-43.947,58.596,-14.649,-141.607,-78.128,-273.448,-48.83,87.894,180.671
0.022,68.362,19.532,-48.83,-43.947,58.596,-14.649,-146.49,-78.128,-273.448,-48.83,87.894,185.554
0.024,68.362,19.532,-48.83,-43.947,58.596,-14.649,-161.139,-83.011,-278.331,-58.596,92.777,200.203
0.026,68.362,19.532,-48.83,-43.947,58.596,-14.649,-166.022,-87.894,-283.214,-58.596,97.66,205.086
0.028,68.362,19.532,-48.83,-43.947,58.596,-14.649,-170.905,-92.777,-288.097,-58.596,102.543,209.969
0.03,68.362,19.532,-48.83,-43.947,58.596,-14.649,-175.788,-97.66,-292.98,-58.596,107.426,214.852
0.032,68.362,19.532,-48.83,-43.947,58.596,-14.649,-190.437,-112.309,-302.746,-58.596,117.192,224.618
0.034,68.362,19.532,-48.83,-43.947,58.596,-14.649,-195.32,-117.192,-312.512,-58.596,117.192,224.618
0.036,68.362,19.532,-48.83,-43.947,58.596,-14.649,-200.203,-122.075,-322.278,-58.596,117.192,224.618
0.038,68.362,19.532,-48.83,-43.947,58.596,-14.649,-205.086,-126.958,-332.044,-58.596,117.192,224.618
0.04,78.128,29.298,-48.83,-53.713,63.479,-9.766,-219.735,-141.607,-341.81,-68.362,126.958,229.501
0.042,78.128,29.298,-48.83,-53.713,63.479,-9.766,-224.618,-146.49,-351.576,-68.362,126.958,234.384
0.044,78.128,29.298,-48.83,-53.713,63.479,-9.766,-229.501,-151.373,-361.342,-68.362,126.958,239.267
0.046,78.128,29.298,-48.83,-53.713,63.479,-9.766,-234.384,-156.256,-371.108,-68.362,126.958,244.15
0.048,83.011,34.181,-48.83,-58.596,68.362,-4.883,-244.15,-175.788,-385.757,-73.245,136.724,249.033
0.05,87.894,39.064,-48.83,-63.479,68.362,-4.883,-253.916,-185.554,-400.406,-78.128,136.724,253.916
0.052,92.777,43.947,-48.83,-68.362,73.245,0.0,-263.682,-195.32,-415.055,-83.011,136.724,258.799
0.054,97.66,48.83,-48.83,-73.245,73.245,0.0,-273.448,-205.086,-429.704,-87.894,136.724,263.682
0.056,107.426,53.713,-53.713,-78.128,83.011,0.0,-283.214,-224.618,-444.353,-92.777,141.607,268.565
0.058,107.426,58.596,-48.83,-83.011,78.128,4.883,-292.98,-234.384,-459.002,-97.66,146.49,273.448
0.06,107.426,63.479,-43.947,-83.011,78.128,9.766,-302.746,-244.15,-473.651,-102.543,151.373,278.331
0.062,107.426,68.362,-39.064,-87.894,73.245,14.649,-312.512,-253.916,-488.3,-107.426,156.256,283.214
0.064,117.192,73.245,-43.947,-92.777,83.011,14.649,-322.278,-268.565,-512.715,-112.309,170.905,297.863
0.066,117.192,78.128,-39.064,-97.66,78.128,19.532,-332.044,-283.214,-527.364,-117.192,175.788,302.746
0.068,117.192,83.011,-34.181,-97.66,78.128,24.415,-341.81,-297.863,-542.013,-122.075,180.671,307.629
0.07,117.192,87.894,-29.298,-102.543,73.245,29.298,-351.576,-312.512,-556.662,-126.958,185.554,312.512
0.072,122.075,102.543,-19.532,-112.309,73.245,43.947,-361.342,-327.161,-576.194,-136.724,195.32,327.161
0.074,126.958,107.426,-19.532,-117.192,73.245,43.947,-371.108,-341.81,-585.96,-136.724,205.086,332.044
0.076,131.841,112.309,-19.532,-122.075,78.128,48.83,-380.874,-356.459,-595.726,-136.724,214.852,336.927
0.078,136.724,117.192,-19.532,-126.958,78.128,48.83,-390.64,-371.108,-605.492,-136.724,224.618,341.81
0.08,141.607,126.958,-14.649,-131.841,78.128,58.596,-400.406,-395.523,-615.258,-146.49,239.267,341.81
0.082,146.49,136.724,-9.766,-141.607,78.128,63.479,-410.172,-410.172,-625.024,-146.49,244.15,341.81
0.084,151.373,146.49,-4.883,-146.49,78.128,73.245,-419.938,-424.821,-634.79,-146.49,249.033,341.81
