,Unnamed: 0,Time,BIS,MIS,AIS,AAL,MAL,BAL,Global,ECG
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
8,8,0.016,0.1757858,0.7201055,1.804692,1.331571,0.4410439,-0.0528681,0.742546,93.0
9,9,0.030999999999999986,0.02282028,1.03088,3.017532,2.12785,0.5392284,-0.006568225,1.165142,214.0
10,10,0.047,-0.08336245,1.196798,3.626537,2.36542,0.418488,0.1197334,1.334654,241.0
11,11,0.06299999999999999,0.106176,1.301516,3.581276,2.0819,0.2751372,0.3564464,1.34582,93.0
12,12,0.079,0.6235906,1.298741,2.987482,1.388272,0.2001386,0.767987,1.241151,6.0
13,13,0.09499999999999999,0.938579,1.055577,2.097666,0.366386,0.03095444,1.526168,0.9634662,5.0
14,14,0.11,0.6179897,0.4549994,1.049344,-1.08569,-0.451732,2.35355,0.3852979,26.0
15,15,0.126,-0.5021498,-0.5355639,-0.1948319,-3.169961,-1.461388,2.937782,-0.5685126,38.0
16,16,0.14200000000000002,-2.148435,-1.920208,-1.618695,-5.456156,-2.884402,3.378875,-1.816942,46.0
17,17,0.15800000000000003,-3.822397,-3.547151,-3.13945,-7.370036,-4.437033,3.32642,-3.201283,53.0
18,18,0.174,-5.225445,-5.22471,-4.869104,-8.857895,-5.944793,2.86617,-4.617571,58.0
19,19,0.19,-6.515015,-6.970142,-6.729005,-10.13179,-7.489962,2.125055,-6.048692,62.0
20,20,0.20500000000000002,-7.824713,-8.863073,-8.60605,-11.36767,-9.108845,1.376548,-7.488558,67.0
21,21,0.22100000000000003,-9.095595,-10.7521,-10.44418,-12.71918,-10.67302,0.8030869,-8.909556,71.0
22,22,0.237,-10.29086,-12.63752,-12.05767,-14.10948,-12.29702,0.2501766,-10.30457,76.0
23,23,0.253,-11.38737,-14.36293,-13.43165,-15.58842,-13.92863,-0.6174874,-11.68976,83.0
24,24,0.269,-12.55884,-15.9904,-14.62089,-17.08989,-15.43208,-1.766849,-13.07429,96.0
25,25,0.28400000000000003,-13.74797,-17.285,-15.91627,-18.91555,-16.74662,-2.975133,-14.43359,115.0
26,26,0.3,-14.77304,-18.31522,-17.08094,-20.57001,-18.03884,-4.250269,-15.68029,126.0
27,27,0.316,-15.49122,-18.97801,-18.05793,-21.9488,-19.29462,-5.395272,-16.68435,121.0
28,28,0.332,-15.51091,-19.00331,-18.72968,-23.05077,-20.2942,-6.368119,-17.30663,91.0
29,29,0.34800000000000003,-14.49151,-18.08274,-18.98332,-23.89876,-20.88499,-7.178456,-17.49544,59.0
30,30,0.363,-12.87648,-16.6017,-18.83594,-24.41702,-21.15749,-7.940938,-17.36059,42.0
31,31,0.379,-11.78627,-15.34257,-18.11926,-24.35755,-21.49245,-8.530588,-17.05311,39.0
32,32,0.395,-11.81864,-14.71883,-16.59262,-23.39887,-21.71449,-8.625916,-16.55304,42.0
33,33,0.41100000000000003,-12.68323,-14.40137,-14.70797,-21.83233,-21.13401,-7.66917,-15.62649,47.0
34,34,0.42700000000000005,-13.47624,-13.87984,-12.27662,-19.00115,-19.14904,-5.414655,-14.00908,50.0
35,35,0.44300000000000006,-13.90803,-13.12266,-9.248963,-14.38907,-15.77241,-3.189324,-11.73551,53.0
36,36,0.45799999999999996,-14.13399,-12.28353,-5.761995,-8.400789,-11.76194,-2.312287,-9.139302,57.0
37,37,0.474,-13.81915,-11.08757,-2.533504,-2.718064,-7.825553,-2.195033,-6.591058,61.0
38,38,0.49,-12.18922,-9.281017,-0.1861512,1.015166,-4.592564,-1.989568,-4.357808,63.0
39,39,0.506,-9.001244,-7.139157,1.31074,2.592506,-2.529043,-1.693227,-2.602792,64.0
40,40,0.522,-5.974034,-5.189646,2.445116,2.985055,-1.638151,-1.463689,-1.407515,64.0
41,41,0.537,-4.313267,-3.919996,3.23917,2.979717,-1.459364,-1.269804,-0.7596441,66.0
42,42,0.553,-3.883488,-3.47616,3.450922,2.880103,-1.442413,-1.050117,-0.537783,69.0
43,43,0.5690000000000001,-3.870077,-3.464332,3.033911,2.537703,-1.373871,-0.6344103,-0.5471956,71.0
44,44,0.585,-3.782433,-3.35734,2.409945,1.934687,-1.302226,-0.06890237,-0.6072672,72.0
45,45,0.601,-3.469404,-3.023273,2.002091,1.324563,-1.35885,0.3852047,-0.6322336,74.0
46,46,0.617,-3.053703,-2.628198,1.892808,0.8989162,-1.551303,0.5422784,-0.6412552,75.0
47,47,0.632,-2.849296,-2.366266,1.758335,0.4774409,-1.751966,0.5909358,-0.6998053,77.0
48,48,0.648,-2.941109,-2.293442,1.361727,-0.0841978,-1.858305,0.7186987,-0.837238,78.0
49,49,0.664,-3.130575,-2.301005,0.7810121,-0.6910518,-1.881592,0.8606742,-1.021937,77.0
50,50,0.68,-3.199729,-2.274686,0.2112365,-1.231637,-1.896784,0.8902026,-1.205586,77.0
51,51,0.6960000000000001,-3.138127,-2.230577,-0.2194919,-1.645848,-1.960869,0.8178295,-1.368686,79.0
52,52,0.711,-3.084464,-2.244684,-0.5948002,-1.958171,-1.984017,0.7199585,-1.51846,83.0
53,53,0.727,-3.025199,-2.304849,-1.093202,-2.308657,-1.879787,0.6930225,-1.638038,88.0
54,54,0.743,-2.755517,-2.251972,-1.678006,-2.605178,-1.706765,0.8001833,-1.634915,86.0
55,55,0.759,-2.026028,-1.849616,-1.927375,-2.454295,-1.415371,0.855377,-1.368987,78.0
56,56,0.775,-0.9293175,-1.022284,-1.361993,-1.526321,-0.8339843,0.5638924,-0.7814808,70.0
57,57,0.791,-2.328306e-08,0.0,0.0,-9.313226e-08,0.0,0.0,0.0,64.0
