TIME IN SEC.,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.0,48.83,29.298,-19.532,-39.064,34.181,4.883,-19.532,-43.947,-19.532,43.947,24.415,-9.766
0.002,48.83,29.298,-19.532,-39.064,34.181,4.883,-19.532,-43.947,-19.532,43.947,24.415,-9.766
0.004,48.83,29.298,-19.532,-39.064,34.181,4.883,-19.532,-43.947,-19.532,43.947,24.415,-9.766
0.006,48.83,29.298,-19.532,-39.064,34.181,4.883,-19.532,-43.947,-19.532,43.947,24.415,-9.766
0.008,48.83,29.298,-19.532,-39.064,34.181,4.883,-19.532,-43.947,-19.532,43.947,24.415,-9.766
0.01,48.83,29.298,-19.532,-39.064,34.181,4.883,-19.532,-43.947,-19.532,43.947,24.415,-9.766
0.012,48.83,24.415,-24.415,-34.181,39.064,0.0,-14.649,-39.064,-19.532,43.947,19.532,-14.649
0.014,43.947,14.649,-29.298,-29.298,39.064,-4.883,0.0,-34.181,-24.415,39.064,14.649,-19.532
0.016,39.064,4.883,-34.181,-19.532,39.064,-14.649,0.0,-34.181,-24.415,34.181,14.649,-24.415
0.018,29.298,0.0,-29.298,-14.649,29.298,-14.649,4.883,-29.298,-24.415,34.181,9.766,-24.415
0.02,24.415,-9.766,-34.181,-4.883,29.298,-19.532,9.766,-24.415,-24.415,34.181,9.766,-29.298
0.022,14.649,-14.649,-29.298,0.0,19.532,-19.532,14.649,-19.532,-24.415,29.298,4.883,-29.298
0.024,9.766,-19.532,-29.298,4.883,19.532,-24.415,14.649,-19.532,-24.415,24.415,4.883,-34.181
0.026,0.0,-24.415,-24.415,9.766,9.766,-24.415,14.649,-19.532,-24.415,24.415,4.883,-34.181
0.028,-9.766,-24.415,-14.649,14.649,0.0,-19.532,14.649,-19.532,-29.298,19.532,0.0,-34.181
0.03,-14.649,-29.298,-14.649,19.532,0.0,-24.415,9.766,-19.532,-29.298,14.649,0.0,-34.181
0.032,-19.532,-29.298,-9.766,24.415,-4.883,-19.532,9.766,-19.532,-34.181,14.649,0.0,-34.181
0.034,-24.415,-34.181,-9.766,29.298,-9.766,-24.415,9.766,-24.415,-34.181,14.649,0.0,-34.181
0.036,-24.415,-34.181,-9.766,29.298,-9.766,-24.415,4.883,-29.298,-39.064,9.766,-9.766,-39.064
0.038,-29.298,-34.181,-4.883,29.298,-14.649,-19.532,4.883,-34.181,-43.947,9.766,-9.766,-39.064
0.04,-29.298,-34.181,-4.883,29.298,-14.649,-19.532,4.883,-34.181,-48.83,4.883,-14.649,-43.947
0.042,-29.298,-34.181,-4.883,29.298,-14.649,-19.532,4.883,-34.181,-53.713,4.883,-14.649,-43.947
0.044,-29.298,-34.181,-4.883,29.298,-14.649,-19.532,9.766,-39.064,-53.713,4.883,-19.532,-43.947
0.046,-24.415,-34.181,-9.766,29.298,-9.766,-24.415,9.766,-39.064,-58.596,4.883,-19.532,-43.947
0.048,-24.415,-29.298,-4.883,24.415,-9.766,-19.532,14.649,-39.064,-58.596,0.0,-19.532,-43.947
0.05,-29.298,-29.298,0.0,29.298,-14.649,-14.649,14.649,-39.064,-58.596,0.0,-24.415,-43.947
0.052,-29.298,-29.298,0.0,29.298,-14.649,-14.649,19.532,-39.064,-58.596,0.0,-24.415,-43.947
0.054,-29.298,-29.298,0.0,29.298,-14.649,-14.649,19.532,-39.064,-58.596,0.0,-24.415,-48.83
0.056,-29.298,-29.298,0.0,29.298,-14.649,-14.649,19.532,-39.064,-58.596,0.0,-24.415,-48.83
0.058,-29.298,-29.298,0.0,29.298,-14.649,-14.649,19.532,-39.064,-58.596,4.883,-24.415,-48.83
0.06,-29.298,-29.298,0.0,29.298,-14.649,-14.649,19.532,-43.947,-58.596,4.883,-24.415,-48.83
0.062,-29.298,-29.298,0.0,29.298,-14.649,-14.649,19.532,-39.064,-53.713,9.766,-24.415,-48.83
0.064,-24.415,-29.298,-4.883,24.415,-9.766,-19.532,19.532,-39.064,-48.83,9.766,-24.415,-48.83
0.066,-24.415,-29.298,-4.883,24.415,-9.766,-19.532,14.649,-39.064,-43.947,14.649,-24.415,-48.83
0.068,-24.415,-29.298,-4.883,24.415,-9.766,-19.532,14.649,-39.064,-39.064,14.649,-24.415,-48.83
0.07,-24.415,-29.298,-4.883,24.415,-9.766,-19.532,14.649,-39.064,-34.181,14.649,-24.415,-48.83
0.072,-24.415,-29.298,-4.883,24.415,-9.766,-19.532,9.766,-39.064,-34.181,19.532,-24.415,-48.83
0.074,-24.415,-29.298,-4.883,24.415,-9.766,-19.532,9.766,-39.064,-34.181,19.532,-29.298,-48.83
0.076,-24.415,-29.298,-4.883,24.415,-9.766,-19.532,9.766,-39.064,-34.181,19.532,-29.298,-48.83
0.078,-29.298,-29.298,0.0,29.298,-14.649,-14.649,9.766,-39.064,-34.181,19.532,-29.298,-48.83
0.08,-29.298,-29.298,0.0,29.298,-14.649,-14.649,9.766,-39.064,-39.064,19.532,-29.298,-53.713
0.082,-29.298,-29.298,0.0,29.298,-14.649,-14.649,9.766,-34.181,-39.064,19.532,-29.298,-53.713
0.084,-34.181,-29.298,4.883,29.298,-19.532,-14.649,19.532,-29.298,-29.298,19.532,-24.415,-53.713
0.086,-34.181,-29.298,4.883,29.298,-19.532,-14.649,24.415,-19.532,-14.649,24.415,-24.415,-58.596
0.088,-39.064,-24.415,14.649,29.298,-29.298,-4.883,39.064,4.883,19.532,34.181,-24.415,-58.596
0.09,-43.947,-19.532,24.415,29.298,-34.181,0.0,53.713,34.181,63.479,48.83,-24.415,-63.479
0.092,-48.83,-14.649,34.181,29.298,-43.947,9.766,73.245,73.245,126.958,73.245,-24.415,-68.362
0.094,-48.83,0.0,48.83,24.415,-48.83,24.415,97.66,122.075,205.086,102.543,-29.298,-73.245
0.096,-48.83,14.649,63.479,14.649,-53.713,39.064,122.075,175.788,297.863,136.724,-29.298,-78.128
0.098,-39.064,29.298,68.362,4.883,-53.713,48.83,141.607,239.267,395.523,180.671,-24.415,-83.011
0.1,-29.298,48.83,78.128,-9.766,-53.713,63.479,156.256,292.98,498.066,239.267,-14.649,-78.128
0.102,0.0,78.128,78.128,-39.064,-39.064,78.128,161.139,336.927,590.843,307.629,14.649,-68.362
0.104,34.181,112.309,78.128,-73.245,-19.532,97.66,151.373,366.225,673.854,380.874,48.83,-48.83
0.106,78.128,156.256,78.128,-117.192,0.0,117.192,122.075,371.108,737.333,468.768,97.66,-24.415
0.108,126.958,209.969,83.011,-166.022,24.415,146.49,78.128,351.576,771.514,561.545,166.022,19.532
0.11,190.437,268.565,78.128,-229.501,58.596,175.788,19.532,302.746,771.514,664.088,253.916,68.362
0.112,263.682,327.161,63.479,-292.98,102.543,195.32,-53.713,239.267,742.216,751.982,341.81,126.958
0.114,341.81,385.757,43.947,-361.342,151.373,214.852,-136.724,146.49,673.854,830.11,439.47,190.437
0.116,415.055,449.236,34.181,-429.704,190.437,244.15,-229.501,48.83,561.545,878.94,527.364,258.799
0.118,478.534,498.066,19.532,-488.3,229.501,258.799,-312.512,-58.596,424.821,883.823,600.609,317.395
0.12,522.481,537.13,14.649,-527.364,253.916,278.331,-390.64,-175.788,249.033,834.993,654.322,371.108
0.122,537.13,561.545,24.415,-546.896,258.799,292.98,-459.002,-297.863,58.596,732.45,668.971,415.055
0.124,517.598,566.428,48.83,-542.013,234.384,307.629,-502.949,-405.289,-126.958,585.96,654.322,439.47
0.126,468.768,561.545,92.777,-512.715,190.437,327.161,-527.364,-517.598,-307.629,410.172,610.375,454.119
0.128,380.874,537.13,156.256,-459.002,112.309,346.693,-527.364,-615.258,-463.885,209.969,537.13,449.236
0.13,268.565,493.183,224.618,-380.874,24.415,361.342,-507.832,-693.386,-571.311,14.649,449.236,424.821
0.132,141.607,439.47,297.863,-288.097,-78.128,371.108,-468.768,-742.216,-629.907,-161.139,341.81,380.874
0.134,19.532,371.108,351.576,-195.32,-166.022,361.342,-415.055,-761.748,-639.673,-307.629,239.267,332.044
0.136,-102.543,297.863,400.406,-97.66,-249.033,346.693,-346.693,-751.982,-595.726,-424.821,126.958,268.565
0.138,-214.852,219.735,434.587,0.0,-322.278,327.161,-273.448,-708.035,-522.481,-507.832,24.415,195.32
0.14,-302.746,131.841,434.587,83.011,-366.225,283.214,-190.437,-639.673,-429.704,-566.428,-78.128,112.309
0.142,-366.225,48.83,415.055,156.256,-390.64,229.501,-112.309,-542.013,-317.395,-600.609,-170.905,29.298
0.144,-415.055,-39.064,375.991,224.618,-395.523,166.022,-34.181,-444.353,-209.969,-629.907,-253.916,-53.713
